,Year,Month,,Inflation,Population,GDP,Imports,Exports,Agriculture,Industry,Services,USDPHP,Nominal GDP
Jan-86,1986,January,1/1/1986,3.8,,,,,,,,19.0417,
Feb-86,1986,February,1/2/1986,4.7,,,,,,,,20.4609,
Mar-86,1986,March,1/3/1986,4.2,,1016182.62,,,19.77,33.19,47.03,20.7811,162291.00
Apr-86,1986,April,1/4/1986,2.8,,,,,,,,20.5045,
May-86,1986,May,1/5/1986,2.3,,,,,,,,20.5003,
Jun-86,1986,June,1/6/1986,0.5,,1072520.41,,,19.76,33.1,47.14,20.552,176228.00
Jul-86,1986,July,1/7/1986,-0.9,,,,,,,,20.4543,
Aug-86,1986,August,1/8/1986,-0.9,,,,,,,,20.4317,
Sep-86,1986,September,1/9/1986,-0.9,,941279.94,,,15.44,34.41,50.14,20.5092,163641.00
Oct-86,1986,October,1/10/1986,-0.5,,,,,,,,20.4372,
Nov-86,1986,November,1/11/1986,-0.5,,,,,,,,20.436,
Dec-86,1986,December,1/12/1986,-0.9,55213006,1123165.22,,,19.95,30.44,49.61,20.5198,190692.00
Jan-87,1987,January,1/1/1987,0,,,,,,,,20.4629,
Feb-87,1987,February,1/2/1987,-0.5,,,,,,,,20.5252,
Mar-87,1987,March,1/3/1987,-0.4,,1016812.02,,,19.6,31.98,48.42,20.5625,175246.00
Apr-87,1987,April,1/4/1987,0.9,,,,,,,,20.5048,
May-87,1987,May,1/5/1987,2.3,,,,,,,,20.4732,
Jun-87,1987,June,1/6/1987,4.6,,1102845.63,,,19.88,32.3,47.82,20.4564,192890.00
Jul-87,1987,July,1/7/1987,6,,,,,,,,20.45,
Aug-87,1987,August,1/8/1987,6.5,,,,,,,,20.4387,
Sep-87,1987,September,1/9/1987,7.4,,1014292.19,,,15.03,36.14,48.83,20.6005,190706.00
Oct-87,1987,October,1/10/1987,6.9,,,,,,,,20.7062,
Nov-87,1987,November,1/11/1987,7.3,,,,,,,,20.8171,
Dec-87,1987,December,1/12/1987,8.3,56645077,1165002.25,,,19.57,30.2,50.23,20.8148,218441.00
Jan-88,1988,January,1/1/1988,13.6,,,,,,,,20.8462,
Feb-88,1988,February,1/2/1988,14,,,,,,,,20.903,
Mar-88,1988,March,1/3/1988,14.4,,1049992.81,,,18.56,33.23,48.21,21.0277,205057.00
Apr-88,1988,April,1/4/1988,15.4,,,,,,,,21.0296,
May-88,1988,May,1/5/1988,14.8,,,,,,,,20.955,
Jun-88,1988,June,1/6/1988,14.2,,1144410.4,,,18.36,32.02,49.62,20.9487,222910.00
Jul-88,1988,July,1/7/1988,13.5,,,,,,,,21.0247,
Aug-88,1988,August,1/8/1988,13.5,,,,,,,,21.0591,
Sep-88,1988,September,1/9/1988,12.9,,1080960.03,,,16.14,34.23,49.63,21.2485,218394.00
Oct-88,1988,October,1/10/1988,13.4,,,,,,,,21.3616,
Nov-88,1988,November,1/11/1988,13.2,,,,,,,,21.3771,
Dec-88,1988,December,1/12/1988,13.6,58157496,1211100.96,,,18.5,33.13,48.37,21.356,263919.00
Jan-89,1989,January,1/1/1989,9.2,,,,,,,,21.3421,
Feb-89,1989,February,1/2/1989,8.7,,,,,,,,21.3575,
Mar-89,1989,March,1/3/1989,8.3,,1110899,,,18.49,32.57,48.94,21.3388,232543.00
Apr-89,1989,April,1/4/1989,8.6,,,,,,,,21.4136,
May-89,1989,May,1/5/1989,9.4,,,,,,,,21.5796,
Jun-89,1989,June,1/6/1989,10.1,,1171082.48,,,16.98,32.62,50.39,21.68,251104.00
Jul-89,1989,July,1/7/1989,10.4,,,,,,,,21.8865,
Aug-89,1989,August,1/8/1989,11.9,,,,,,,,21.88,
Sep-89,1989,September,1/9/1989,12.2,,1148588.13,,,15.84,33.97,50.18,21.9691,255879.00
Oct-89,1989,October,1/10/1989,12.9,,,,,,,,21.9589,
Nov-89,1989,November,1/11/1989,12.8,,,,,,,,22.099,
Dec-89,1989,December,1/12/1989,13.8,59739052,1356350.02,,,17.92,34.44,47.64,22.3352,315003.00
Jan-90,1990,January,1/1/1990,13.6,,,,,,,,22.4644,
Feb-90,1990,February,1/2/1990,13.9,,,,,,,,22.6245,
Mar-90,1990,March,1/3/1990,13.8,,1182521.98,,,17.46,33.56,48.97,22.7594,279143.00
Apr-90,1990,April,1/4/1990,14.1,,,,,,,,22.7609,
May-90,1990,May,1/5/1990,13.6,,,,,,,,22.9018,
Jun-90,1990,June,1/6/1990,13,,1233224.96,,,16.58,32.54,50.88,23.1026,290701.00
Jul-90,1990,July,1/7/1990,13.6,,,,,,,,23.5632,
Aug-90,1990,August,1/8/1990,11.6,,,,,,,,24.4474,
Sep-90,1990,September,1/9/1990,12.2,,1211700.24,,,15.37,33.69,50.94,25.3519,295743.00
Oct-90,1990,October,1/10/1990,13.1,,,,,,,,25.75,
Nov-90,1990,November,1/11/1990,14.4,,,,,,,,28,
Dec-90,1990,December,1/12/1990,16.7,61265260,1455491.64,,,17.81,33.1,49.09,28,362294.00
Jan-91,1991,January,1/1/1991,18.7,,,950.41,635.57,,,,28,
Feb-91,1991,February,1/2/1991,20.2,,,1094.81,662.65,,,,28,
Mar-91,1991,March,1/3/1991,21.1,,1243019.24,1076.87,742.13,18.29,31.98,49.73,28,325283.00
Apr-91,1991,April,1/4/1991,20.6,,,896.52,709.7,,,,27.9261,
May-91,1991,May,1/5/1991,20.8,,,983.15,688.51,,,,27.8186,
Jun-91,1991,June,1/6/1991,20.6,,1276754.84,937.91,767.7,16.58,31.93,51.49,27.7955,341433.00
Jul-91,1991,July,1/7/1991,19.9,,,1025.69,793.5,,,,27.621,
Aug-91,1991,August,1/8/1991,21.2,,,967.43,741.2,,,,27.1995,
Sep-91,1991,September,1/9/1991,20.9,,1257010.37,988.48,764.46,14.7,33.82,51.48,26.9834,344791.00
Oct-91,1991,October,1/10/1991,19,,,1023.15,756.88,,,,26.9946,
Nov-91,1991,November,1/11/1991,17.3,,,1110.04,751.08,,,,26.7366,
Dec-91,1991,December,1/12/1991,13.2,62854666,1462844.73,996.9,826.13,18.78,32.42,48.8,26.6683,411450.00
Jan-92,1992,January,1/1/1992,10.9,,,1037.69,662.37,,,,26.5446,
Feb-92,1992,February,1/2/1992,9.1,,,1032.51,714.9,,,,26.158,
Mar-92,1992,March,1/3/1992,8.7,,1244652.42,1164.81,898.46,18.11,32.58,49.3,25.8102,362800.00
Apr-92,1992,April,1/4/1992,8.4,,,1196.81,666.45,,,,25.6672,
May-92,1992,May,1/5/1992,8.9,,,1186.29,811.71,,,,26.1496,
Jun-92,1992,June,1/6/1992,8.8,,1262124.78,1088.95,835.57,16.14,31.87,51.99,26.1205,368201.00
Jul-92,1992,July,1/7/1992,9,,,1166.41,851.13,,,,25.2616,
Aug-92,1992,August,1/8/1992,8.4,,,1399.19,913.09,,,,24.6691,
Sep-92,1992,September,1/9/1992,8,,1233097.82,1335.7,873.34,14.39,34.05,51.56,24.726,370452.00
Oct-92,1992,October,1/10/1992,8,,,1330.79,860.36,,,,24.7849,
Nov-92,1992,November,1/11/1992,8,,,1255.04,824.14,,,,24.9361,
Dec-92,1992,December,1/12/1992,7.4,64382249,1476888.94,1324.72,912.8,19.52,30.72,49.77,25.3221,440072.00
Jan-93,1993,January,1/1/1993,7.4,,,1183.58,790.44,,,,25.2801,
Feb-93,1993,February,1/2/1993,7.3,,,1181.68,842.71,,,,25.3116,
Mar-93,1993,March,1/3/1993,6.8,,1271890.91,1390.57,842.46,18.85,31.29,49.87,25.3656,387781.00
Apr-93,1993,April,1/4/1993,6.8,,,1504,861.73,,,,26.078,
May-93,1993,May,1/5/1993,6,,,1460.29,932.14,,,,27.0064,
Jun-93,1993,June,1/6/1993,6.2,,1259193.14,1335.13,914.44,16.18,31.92,51.9,27.2063,397727.00
Jul-93,1993,July,1/7/1993,6.1,,,1553.48,998.17,,,,27.5688,
Aug-93,1993,August,1/8/1993,6.3,,,1512.67,994.5,,,,27.9489,
Sep-93,1993,September,1/9/1993,6.7,,1237813.31,1565.59,1018.3,13.78,34.52,51.7,28.2337,407532.00
Oct-93,1993,October,1/10/1993,6.9,,,1654.69,1012.52,,,,29.16,
Nov-93,1993,November,1/11/1993,6.9,,,1682.74,1163.36,,,,28.4849,
Dec-93,1993,December,1/12/1993,7.4,65926125,1469653.32,1572.98,1004.05,19.35,30.86,49.79,27.7939,489381.00
Jan-94,1994,January,1/1/1994,12.8,,,1650.56,951.62,,,,27.7245,
Feb-94,1994,February,1/2/1994,13.9,,,1349.04,927.01,,,,27.6463,
Mar-94,1994,March,1/3/1994,13.4,,1283261.21,1599.52,1057.67,18,32.07,49.93,27.5872,446077.00
Apr-94,1994,April,1/4/1994,13.6,,,1775.99,965.79,,,,27.5298,
May-94,1994,May,1/5/1994,13.5,,,1810.36,1083.86,,,,27.053,
Jun-94,1994,June,1/6/1994,13,,1291695.47,2041.89,1125.27,16.36,31.89,51.75,26.9756,462046.00
Jul-94,1994,July,1/7/1994,12.6,,,1768.46,1217.56,,,,26.4608,
Aug-94,1994,August,1/8/1994,12.5,,,1728.14,1178.01,,,,26.3132,
Sep-94,1994,September,1/9/1994,11.7,,1270449.96,1967.95,1239.74,14.43,34.19,51.38,25.9113,469787.00
Oct-94,1994,October,1/10/1994,11.3,,,1886.76,1299.34,,,,25.3945,
Nov-94,1994,November,1/11/1994,11,,,1860.74,1128.46,,,,24.2648,
Dec-94,1994,December,1/12/1994,10.8,67530621,1507443.46,1893.13,1308.55,18.29,31.97,49.74,24.145,554751.00
Jan-95,1995,January,1/1/1995,6.1,,,1855.58,1160.75,,,,24.6223,
Feb-95,1995,February,1/2/1995,5.6,,,1615.89,1263.77,,,,25.0282,
