Date,BIR,BOC,Other Offices,BTr Income,Fees and Charges,CARP,Income from Malampaya,Privatization,Grants,Economic Support Fund,Other non-tax,Sale of Assets,Marcos Wealth,Allotment to LGUs,Interest Payments,Tax Expenditures,Subsidy,Equity,Net Lending,NG Disbursements
1/1/1986,2231,849,76,145,249,0,0,0,15,0,0,0,0,171,1376,0,12,2,707,0
2/1/1986,3351,1805,137,149,133,0,0,0,0,0,0,0,0,284,3753,0,19,452,1692,0
3/1/1986,6483,1578,102,84,468,0,0,0,10,0,0,0,0,298,1781,0,0,0,2357,0
4/1/1986,3384,1333,111,33,395,0,0,0,9,0,0,0,0,262,1307,0,9,200,1733,0
5/1/1986,2834,1402,107,192,269,0,0,0,7,4104,0,0,0,267,1292,0,0,3500,1481,0
6/1/1986,5050,1428,136,354,398,0,0,0,9,0,0,0,0,226,1034,0,21,9,2891,0
7/1/1986,3207,1360,110,32,559,0,0,0,0,0,0,0,0,375,1231,0,10,3500,-2225,0
8/1/1986,2697,1379,102,186,962,0,0,0,4,2046,0,0,0,312,1392,0,60,242,1905,0
9/1/1986,5322,1553,137,132,536,0,0,0,7,0,0,0,0,316,1663,0,23,205,3093,0
10/1/1986,3918,1241,71,53,327,0,0,0,0,0,0,0,0,223,1889,0,464,14,3216,0
11/1/1986,4181,1777,46,491,454,0,0,0,133,0,262,0,0,580,3979,0,962,4204,-2313,0
12/1/1986,46804,17496,1191,1962,5181,0,0,0,199,6150,262,0,0,3574,21612,0,1720,12337,15148,0
1/1/1987,2969,1925,101,188,329,0,0,7,2,0,0,0,0,172,2970,0,0,3,-194,0
2/1/1987,3771,2174,121,243,1040,0,0,73,160,0,0,0,0,444,4725,0,47,708,754,0
3/1/1987,7524,2080,133,567,165,0,0,1,88,0,372,0,0,185,3339,0,487,0,915,0
4/1/1987,4074,1638,102,134,323,0,0,7,4,0,0,0,0,260,2818,0,14,45,606,0
5/1/1987,5184,2340,149,246,312,0,0,7,205,1535,0,0,0,290,3472,507,0,289,526,0
6/1/1987,6334,2429,139,322,500,0,0,22,1,0,0,0,0,859,3037,0,0,33,1274,0
7/1/1987,4980,2062,134,146,307,0,0,95,0,27,0,0,0,8,2842,0,151,199,574,0
8/1/1987,3498,2549,118,452,547,0,0,493,128,0,22,0,0,587,3090,0,13,0,693,0
9/1/1987,5840,2392,113,658,357,0,0,308,253,1554,0,0,0,300,2635,0,418,4,1124,0
10/1/1987,3437,1998,80,310,371,0,0,94,354,0,5,0,0,297,2954,0,189,740,717,0
11/1/1987,5246,2938,41,2251,601,0,0,126,182,0,10,0,0,747,3292,542,517,2393,-758,0
12/1/1987,58600,25992,1331,5752,5368,0,0,1253,1393,3116,409,0,0,4304,36905,1049,1836,4414,7077,0
1/1/1988,3961,1990,132,42,511,0,0,0,246,0,0,614,0,321,3500,398,23,0,672,0
