Unnamed: 3,Inflation,Population,GDP,Imports,Exports,Agriculture,Industry,Services,USDPHP,Nominal GDP,TotalTrade,TotalTrade_PHPMN,NominalGDP_disagg,Pop_disagg
1/1/1992,10.9,,,1037.69,662.37,,,,26.5446,,1700.06,45127.41268,136347.8527,63004203.31
2/1/1992,9.1,,,1032.51,714.9,,,,26.158,,1747.41,45708.75078,137765.5289,62965193.58
3/1/1992,8.7,,1244652.42,1164.81,898.46,18.11,32.58,49.3,25.8102,362800,2063.27,53253.41135,128415.5503,62929730.18
4/1/1992,8.4,,,1196.81,666.45,,,,25.6672,,1863.26,47824.66707,120089.5621,62897813.13
5/1/1992,8.9,,,1186.29,811.71,,,,26.1496,,1998,52246.9008,124258.7011,62869442.41
6/1/1992,8.8,,1262124.78,1088.95,835.57,16.14,31.87,51.99,26.1205,368201,1924.52,50269.42466,122945.2353,62844618.04
7/1/1992,9,,,1166.41,851.13,,,,25.2616,,2017.54,50966.28846,123516.4148,62823340
8/1/1992,8.4,,,1399.19,913.09,,,,24.6691,,2312.28,57041.86655,126594.5861,62805608.31
9/1/1992,8,,1233097.82,1335.7,873.34,14.39,34.05,51.56,24.726,370452,2209.04,54620.72304,122506.5729,62791422.95
10/1/1992,8,,,1330.79,860.36,,,,24.7849,,2191.15,54307.43364,123051.783,62780783.93
11/1/1992,8,,,1255.04,824.14,,,,24.9361,,2079.18,51846.6404,121974.1107,62773691.25
12/1/1992,7.4,64382249,1476888.94,1324.72,912.8,19.52,30.72,49.77,25.3221,440072,2237.52,56658.70519,156574.3241,64702019.13
1/1/1993,7.4,,,1183.58,790.44,,,,25.2801,,1974.02,49903.423,145693.6567,64532024.65
2/1/1993,7.3,,,1181.68,842.71,,,,25.3116,,2024.39,51240.54992,147833.0751,64492952.74
3/1/1993,6.8,,1271890.91,1390.57,842.46,18.85,31.29,49.87,25.3656,387781,2233.03,56642.14577,134920.6944,64457432.82
4/1/1993,6.8,,,1504,861.73,,,,26.078,,2365.73,61693.50694,133452.0571,64425464.9
5/1/1993,6,,,1460.29,932.14,,,,27.0064,,2392.43,64610.92155,130253.3256,64397048.97
6/1/1993,6.2,,1259193.14,1335.13,914.44,16.18,31.92,51.9,27.2063,397727,2249.57,61202.47629,126778.5894,64372185.02
7/1/1993,6.1,,,1553.48,998.17,,,,27.5688,,2551.65,70345.92852,136284.8795,64350873.07
8/1/1993,6.3,,,1512.67,994.5,,,,27.9489,,2507.17,70072.64361,131622.9106,64333113.12
9/1/1993,6.7,,1237813.31,1565.59,1018.3,13.78,34.52,51.7,28.2337,407532,2583.89,72952.77509,137141.9937,64318905.15
10/1/1993,6.9,,,1654.69,1012.52,,,,29.16,,2667.21,77775.8436,138872.9963,64308249.17
11/1/1993,6.9,,,1682.74,1163.36,,,,28.4849,,2846.1,81070.87389,137209.1185,64301145.19
12/1/1993,7.4,65926125,1469653.32,1572.98,1004.05,19.35,30.86,49.79,27.7939,489381,2577.03,71625.71412,155667.9513,66250194.24
1/1/1994,12.8,,,1650.56,951.62,,,,27.7245,,2602.18,72144.13941,161488.5429,66077917.46
2/1/1994,13.9,,,1349.04,927.01,,,,27.6463,,2276.05,62924.36112,157754.5805,66038319.42
3/1/1994,13.4,,1283261.21,1599.52,1057.67,18,32.07,49.93,27.5872,446077,2657.19,73304.43197,156677.8938,66002321.21
4/1/1994,13.6,,,1775.99,965.79,,,,27.5298,,2741.78,75480.65504,152008.0145,65969922.82
5/1/1994,13.5,,,1810.36,1083.86,,,,27.053,,2894.22,78297.33366,149761.6867,65941124.25
6/1/1994,13,,1291695.47,2041.89,1125.27,16.36,31.89,51.75,26.9756,462046,3167.16,85436.0413,162592.7468,65915925.51
7/1/1994,12.6,,,1768.46,1217.56,,,,26.4608,,2986.02,79012.47802,152616.4887,65894326.58
8/1/1994,12.5,,,1728.14,1178.01,,,,26.3132,,2906.15,76470.10618,152705.6549,65876327.48
9/1/1994,11.7,,1270449.96,1967.95,1239.74,14.43,34.19,51.38,25.9113,469787,3207.69,83115.4179,165557.3359,65861928.19
10/1/1994,11.3,,,1886.76,1299.34,,,,25.3945,,3186.1,80909.41645,157738.1375,65851128.73
11/1/1994,11,,,1860.74,1128.46,,,,24.2648,,2989.2,72532.34016,151166.6244,65843929.09
12/1/1994,10.8,67530621,1507443.46,1893.13,1308.55,18.29,31.97,49.74,24.145,554751,3201.68,77304.5636,192738.0544,67869607.68
1/1/1995,6.1,,,1855.58,1160.75,,,,24.6223,,3016.33,74268.98216,185454.2445,67689400.95
2/1/1995,5.6,,,1615.89,1263.77,,,,25.0282,,2879.66,72072.70641,183510.0756,67647980.09
3/1/1995,6,,1328938.79,2142.54,1298.58,17.59,32.59,49.82,25.859,495093,3441.12,88983.92208,180134.3868,67610324.77
4/1/1995,6,,,2229.56,1377.42,,,,26.0077,,3606.98,93809.25375,171433.0424,67576434.98
5/1/1995,6.2,,,2143.63,1400.58,,,,25.8493,,3544.21,91615.34755,162402.4519,67546310.72
6/1/1995,6.5,,1352499.4,2328.66,1521.69,15.47,32.57,51.96,25.6742,514116,3850.35,98854.65597,175294.7325,67519951.99
7/1/1995,6.3,,,2175.49,1592.69,,,,25.514,,3768.18,96141.34452,170895.5258,67497358.8
8/1/1995,6.8,,,2273.59,1591.45,,,,25.7109,,3865.04,99373.65694,173313.1689,67478531.14
9/1/1995,8,,1336681,2444.22,1594.97,14.39,34.59,51.02,25.9692,537781,4039.19,104894.5329,189068.0891,67463469.01
10/1/1995,8.2,,,2342.36,1601.65,,,,25.9654,,3944.01,102407.7973,180512.6226,67452172.41
11/1/1995,8.4,,,2414.72,1422.63,,,,26.1671,,3837.35,100412.3212,177800.3554,67444641.35
12/1/1995,8.2,69019291,1568846.69,2571.39,1621.01,17.14,32.66,50.2,26.206,629594,4192.4,109866.0344,226018.3063,69323664.44
1/1/1996,9.5,,,2236.09,1420.45,,,,26.2116,,3656.54,95843.76386,206688.1409,69161858.26
2/1/1996,9.3,,,2359.58,1594.01,,,,26.1588,,3953.59,103421.1701,215039.213,69124666.8
3/1/1996,9.5,,1392448.47,2760.47,1670.6,17.04,32.82,50.14,26.1957,573212,4431.07,116074.9804,207370.3366,69090856.39
4/1/1996,9.4,,,2811.15,1491.87,,,,26.1897,,4303.02,112694.8029,193529.0554,69060427.01
5/1/1996,9.2,,,2712.35,1612.18,,,,26.1759,,4324.53,113198.4648,190807.7566,69033378.67
6/1/1996,8.9,,1409521.45,2750.55,1793.39,15.57,32.62,51.82,26.1944,596298,4543.94,119025.7819,205532.037,69009711.38
7/1/1996,8.7,,,2838.7,1693.69,,,,26.1995,,4532.39,118746.3518,200327.621,68989425.13
8/1/1996,8.2,,,2799.68,1773.89,,,,26.1994,,4573.57,119824.7899,199007.8101,68972519.92
9/1/1996,6.7,,1417167.31,2870.06,1875.57,14,34.87,51.13,26.2356,614449,4745.63,124504.4504,210802.3663,68958995.75
10/1/1996,6.7,,,2858.51,1883.71,,,,26.2693,,4742.22,124574.7998,206330.3023,68948852.63
11/1/1996,6.6,,,2711.55,1849.91,,,,26.2658,,4561.46,119810.3961,201671.2025,68942090.54
12/1/1996,7.4,70546246,1626238.39,2718.24,1883.27,16.67,32.74,50.6,26.2925,697344,4601.51,120985.2017,236855.1625,70869918.95
1/1/1997,5.4,,,2837.89,1692.26,,,,26.3173,,4530.15,119221.3166,232686.0329,70697853.08
2/1/1997,5.2,,,2626.54,1812.42,,,,26.3411,,4438.96,116927.0893,231052.1586,70658303.4
3/1/1997,5.5,,1464530.75,2935.16,2001.02,16.67,32.77,50.56,26.3319,636625,4936.18,129978.9981,222005.4388,70622349.16
4/1/1997,5.2,,,2942.08,2082.43,,,,26.3642,,5024.51,132467.1865,215944.6094,70589990.33
5/1/1997,5,,,2954.37,1982.88,,,,26.3721,,4937.25,130205.6507,210076.0393,70561226.94
6/1/1997,5.6,,1503061.59,3032.34,2129.08,15.27,33.08,51.66,26.3761,665182,5161.42,136138.1301,226843.5414,70536058.96
