Unnamed: 3,Inflation,Population,GDP,Imports,Exports,Agriculture,Industry,Services,USDPHP,Nominal GDP,Imports_PHPMN,Exports_PHPMN,TotalTrade,TotalTrade_PHPMN,NominalGDP_disagg,Pop_disagg
1991-01-01,18.7,,,950.41,635.57,,,,28.0,,26611.48,17795.96,1585.98,44407.44,97705.478878192,62289650.878052495
1991-02-01,20.2,,,1094.81,662.65,,,,28.0,,30654.68,18554.2,1757.46,49208.880000000005,110051.39092143672,62437046.12725619
1991-03-01,21.1,,1243019.24,1076.87,742.13,18.29,31.98,49.73,28.0,325283.0,30152.36,20779.64,1819.0,50932.0,117526.13020037132,62571041.80835046
1991-04-01,20.6,,,896.52,709.7,,,,27.9261,,25036.30717,19819.15317,1606.22,44855.460340000005,109726.66470467729,62691637.921335295
1991-05-01,20.8,,,983.15,688.51,,,,27.8186,,27349.85659,19153.38429,1671.66,46503.24088,115504.2560437799,62798834.466210715
1991-06-01,20.6,,1276754.84,937.91,767.7,16.58,31.93,51.49,27.7955,341433.0,26069.67741,21338.60535,1705.61,47408.28276,116202.07925154283,62892631.4429767
1991-07-01,19.9,,,1025.69,793.5,,,,27.621,,28330.58349,21917.2635,1819.19,50247.846990000005,117719.3092667841,62973028.851633266
1991-08-01,21.2,,,967.43,741.2,,,,27.1995,,26313.61229,20160.2694,1708.63,46473.88169,109829.46048705323,63040026.692180395
1991-09-01,20.9,,1257010.37,988.48,764.46,14.7,33.82,51.48,26.9834,344791.0,26672.55123,20627.72996,1752.94,47300.28119,117242.23024616273,63093624.96461811
1991-10-01,19.0,,,1023.15,756.88,,,,26.9946,,27619.52499,20431.67285,1780.03,48051.19784,129655.02098898182,63133823.668946385
1991-11-01,17.3,,,1110.04,751.08,,,,26.7366,,29678.69546,20081.32553,1861.12,49760.02099,140477.89609850876,63160622.805165246
1991-12-01,13.2,62854666.0,1462844.73,996.9,826.13,18.78,32.42,48.8,26.6683,411450.0,26585.62827,22031.48268,1823.03,48617.11095,141317.08291250948,63174022.37327467
1992-01-01,10.9,,,1037.69,662.37,,,,26.5446,,27545.06597,17582.3467,1700.06,45127.41267,136347.85270787403,63004203.309920534
1992-02-01,9.1,,,1032.51,714.9,,,,26.158,,27008.39658,18700.3542,1747.41,45708.75078,137765.52892577703,62965193.576897785
1992-03-01,8.7,,1244652.42,1164.81,898.46,18.11,32.58,49.3,25.8102,362800.0,30063.97906,23189.43229,2063.27,53253.41135,128415.55034078597,62929730.183240734
1992-04-01,8.4,,,1196.81,666.45,,,,25.6672,,30718.76163,17105.90544,1863.26,47824.66707,120089.56207426838,62897813.12894941
1992-05-01,8.9,,,1186.29,811.71,,,,26.1496,,31021.00898,21225.89182,1998.0,52246.9008,124258.70112222571,62869442.41402376
1992-06-01,8.8,,1262124.78,1088.95,835.57,16.14,31.87,51.99,26.1205,368201.0,28443.91848,21825.50619,1924.52,50269.42467,122945.23534464304,62844618.03846383
1992-07-01,9.0,,,1166.41,851.13,,,,25.2616,,29465.38286,21500.90561,2017.54,50966.28847,123516.41475405986,62823340.00226961
1992-08-01,8.4,,,1399.19,913.09,,,,24.6691,,34516.75803,22525.10852,2312.28,57041.86655,126594.58614585172,62805608.30544109
1992-09-01,8.0,,1233097.82,1335.7,873.34,14.39,34.05,51.56,24.726,370452.0,33026.5182,21594.20484,2209.04,54620.72304,122506.57286418616,62791422.94797827
1992-10-01,8.0,,,1330.79,860.36,,,,24.7849,,32983.49707,21323.93656,2191.15,54307.43363,123051.78298752318,62780783.92988116
1992-11-01,8.0,,,1255.04,824.14,,,,24.9361,,31295.80294,20550.83745,2079.18,51846.64039,121974.11068550518,62773691.25114975
1992-12-01,7.4,64382249.0,1476888.94,1324.72,912.8,19.52,30.72,49.77,25.3221,440072.0,33544.69231,23114.01288,2237.52,56658.70518999999,156574.32408156685,64702019.130951755
1993-01-01,7.4,,,1183.58,790.44,,,,25.2801,,29921.02076,19982.40224,1974.02,49903.422999999995,145693.65667732008,64532024.64824454
1993-02-01,7.3,,,1181.68,842.71,,,,25.3116,,29910.21149,21330.33844,2024.39,51240.54993,147833.07506133022,64492952.74000682
1993-03-01,6.8,,1271890.91,1390.57,842.46,18.85,31.29,49.87,25.3656,387781.0,35272.64239,21369.50338,2233.0299999999997,56642.14577,134920.69444223263,64457432.8234271
1993-04-01,6.8,,,1504.0,861.73,,,,26.078,,39221.312,22472.19494,2365.73,61693.50694,133452.05707193082,64425464.898505345
1993-05-01,6.0,,,1460.29,932.14,,,,27.0064,,39437.17586,25173.7457,2392.43,64610.92156,130253.32563577716,64397048.96524156
1993-06-01,6.2,,1259193.14,1335.13,914.44,16.18,31.92,51.9,27.2063,397727.0,36323.94732,24878.52897,2249.57,61202.47629,126778.589388354,64372185.02363575
1993-07-01,6.1,,,1553.48,998.17,,,,27.5688,,42827.57942,27518.3491,2551.65,70345.92852,136284.8794734484,64350873.07368791
1993-08-01,6.3,,,1512.67,994.5,,,,27.9489,,42277.46256,27795.18105,2507.17,70072.64361,131622.91055375643,64333113.11539805
1993-09-01,6.7,,1237813.31,1565.59,1018.3,13.78,34.52,51.7,28.2337,407532.0,44202.39838,28750.37671,2583.89,72952.77509,137141.993679887,64318905.14876616
1993-10-01,6.9,,,1654.69,1012.52,,,,29.16,,48250.7604,29525.0832,2667.21,77775.8436,138872.99626479796,64308249.17379224
1993-11-01,6.9,,,1682.74,1163.36,,,,28.4849,,47932.68063,33138.19326,2846.1,81070.87389,137209.1184599416,64301145.19047628
1993-12-01,7.4,65926125.0,1469653.32,1572.98,1004.05,19.35,30.86,49.79,27.7939,489381.0,43719.24882,27906.4653,2577.0299999999997,71625.71412,155667.9513219506,66250194.23925967
1994-01-01,12.8,,,1650.56,951.62,,,,27.7245,,45760.95072,26383.18869,2602.18,72144.13941,161488.54291467206,66077917.45547218
1994-02-01,13.9,,,1349.04,927.01,,,,27.6463,,37295.96455,25628.39656,2276.05,62924.36111,157754.58052557494,66038319.423609875
1994-03-01,13.4,,1283261.21,1599.52,1057.67,18.0,32.07,49.93,27.5872,446077.0,44126.27814,29178.15382,2657.19,73304.43196,156677.89376817763,66002321.212825984
1994-04-01,13.6,,,1775.99,965.79,,,,27.5298,,48892.6495,26588.00554,2741.7799999999997,75480.65504,152008.01446450155,65969922.82312047
1994-05-01,13.5,,,1810.36,1083.86,,,,27.053,,48975.66908,29321.66458,2894.22,78297.33366,149761.68674142932,65941124.25449334
1994-06-01,13.0,,1291695.47,2041.89,1125.27,16.36,31.89,51.75,26.9756,462046.0,55081.20788,30354.83341,3167.16,85436.04129,162592.74674657147,65915925.5069446
1994-07-01,12.6,,,1768.46,1217.56,,,,26.4608,,46794.86637,32217.61165,2986.02,79012.47802000001,152616.48866088522,65894326.580474265
1994-08-01,12.5,,,1728.14,1178.01,,,,26.3132,,45472.89345,30997.21273,2906.15,76470.10618,152705.6549134409,65876327.47508228
1994-09-01,11.7,,1270449.96,1967.95,1239.74,14.43,34.19,51.38,25.9113,469787.0,50992.14284,32123.27506,3207.69,83115.4179,165557.3359125698,65861928.19076873
1994-10-01,11.3,,,1886.76,1299.34,,,,25.3945,,47913.32682,32996.08963,3186.1,80909.41645,157738.1375267428,65851128.72753356
1994-11-01,11.0,,,1860.74,1128.46,,,,24.2648,,45150.48395,27381.85621,2989.2,72532.34016,151166.62441605038,65843929.08537678
1994-12-01,10.8,67530621.0,1507443.46,1893.13,1308.55,18.29,31.97,49.74,24.145,554751.0,45709.62385,31594.93975,3201.6800000000003,77304.56360000001,192738.05441457537,67869607.68136708
1995-01-01,6.1,,,1855.58,1160.75,,,,24.6223,,45688.64743,28580.33473,3016.33,74268.98216,185454.24447013193,67689400.94505422
1995-02-01,5.6,,,1615.89,1263.77,,,,25.0282,,40442.8181,31629.88831,2879.66,72072.70641,183510.07559328523,67647980.08982265
1995-03-01,6.0,,1328938.79,2142.54,1298.58,17.59,32.59,49.82,25.859,495093.0,55403.94186,33579.98022,3441.12,88983.92207999999,180134.38682075188,67610324.7668849
1995-04-01,6.0,,,2229.56,1377.42,,,,26.0077,,57985.72761,35823.52613,3606.98,93809.25374,171433.0424294793,67576434.97624093
1995-05-01,6.2,,,2143.63,1400.58,,,,25.8493,,55411.33496,36204.01259,3544.21,91615.34755,162402.45185499647,67546310.7178907
