Unnamed: 3,Year,Month,Inflation,Population,Imports,Exports,USDPHP,Nominal GDP,Imports_PHPMN,Exports_PHPMN,TotalTrade_PHPMN
1992-01-01,1992,January,10.9,,1037.69,662.37,26.5446,,27545.06597,17582.3467,45127.41267
1992-02-01,1992,February,9.1,,1032.51,714.9,26.158,,27008.39658,18700.3542,45708.75078
1992-03-01,1992,March,8.7,,1164.81,898.46,25.8102,362800.0,30063.97906,23189.43229,53253.41135
1992-04-01,1992,April,8.4,,1196.81,666.45,25.6672,,30718.76163,17105.90544,47824.667069999996
1992-05-01,1992,May,8.9,,1186.29,811.71,26.1496,,31021.00898,21225.89182,52246.9008
1992-06-01,1992,June,8.8,,1088.95,835.57,26.1205,368201.0,28443.91848,21825.50619,50269.42467
1992-07-01,1992,July,9.0,,1166.41,851.13,25.2616,,29465.38286,21500.90561,50966.28847
1992-08-01,1992,August,8.4,,1399.19,913.09,24.6691,,34516.75803,22525.10852,57041.86655
1992-09-01,1992,September,8.0,,1335.7,873.34,24.726,370452.0,33026.5182,21594.20484,54620.72304
1992-10-01,1992,October,8.0,,1330.79,860.36,24.7849,,32983.49707,21323.93656,54307.43363
1992-11-01,1992,November,8.0,,1255.04,824.14,24.9361,,31295.80294,20550.83745,51846.64039
1992-12-01,1992,December,7.4,64382249.0,1324.72,912.8,25.3221,440072.0,33544.69231,23114.01288,56658.70518999999
1993-01-01,1993,January,7.4,,1183.58,790.44,25.2801,,29921.02076,19982.40224,49903.422999999995
1993-02-01,1993,February,7.3,,1181.68,842.71,25.3116,,29910.21149,21330.33844,51240.54993
1993-03-01,1993,March,6.8,,1390.57,842.46,25.3656,387781.0,35272.64239,21369.50338,56642.14577
1993-04-01,1993,April,6.8,,1504.0,861.73,26.078,,39221.312,22472.19494,61693.50694
1993-05-01,1993,May,6.0,,1460.29,932.14,27.0064,,39437.17586,25173.7457,64610.92156
1993-06-01,1993,June,6.2,,1335.13,914.44,27.2063,397727.0,36323.94732,24878.52897,61202.47629
