Date,Tax Revenues,BIR,BOC,Other Offices,Expenditures
2020-01-01,257294.30717412216,203800.34275381098,52282.26100148348,1843.3647385497243,333219.2288137053
2020-02-01,211396.277573417,165446.55582746852,45999.835930652494,2533.9575405333744,357932.37229277357
2020-03-01,207980.59787703893,166911.07213822086,48497.63286910407,2119.007626399809,415050.30418773193
2020-04-01,279310.10356490646,243250.70616289973,36188.35348961739,1835.3264348860248,304205.48464200494
2020-05-01,256513.92086419524,217637.4203172609,44221.77386939846,2535.2642119667,395000.9358065985
2020-06-01,221259.57383718045,180404.0486249887,46701.61092901734,1844.717837780052,400474.64910946763
2020-07-01,242788.501413804,197956.52549935237,48712.58712754995,1939.9342589919506,430898.43784616725
2020-08-01,270557.3547551333,223531.55697023147,47433.019795047105,2567.255320441487,372813.15084899665
2020-09-01,222520.94749363506,180050.55244105172,51185.18789783365,1865.149935530102,470115.2459620662
2020-10-01,246926.6293368463,198351.9764028978,50855.73151498704,1931.9375096752228,406044.3149617952
2020-11-01,285553.19309740537,248154.90691699693,48899.187647425664,2144.7258476842726,443442.3132064373
2020-12-01,239009.3255495793,189003.19521347398,51187.26136810532,1244.4693141636308,543579.463310947
2021-01-01,269009.0793009568,225219.9043041362,48756.42933497238,2021.697209488626,408336.96819499816
2021-02-01,230115.05630290043,186059.48717980983,48287.60272465898,2656.2892505369746,443000.7274374747
2021-03-01,238965.9326790716,191553.8449781033,53920.84544734251,2161.838254271792,508023.03865645285
2021-04-01,329217.9882837002,279382.14289393334,52497.943298963146,1914.8282263622787,433989.2188004982
2021-05-01,293674.493797269,243080.10218691773,53346.93610405123,2597.812154726609,494347.13288762484
2021-06-01,258272.0959930365,204278.69150952948,55460.4143147828,1913.183240455579,490333.1736642481
2021-07-01,279622.58832681505,225231.91685826704,56675.50462776438,2101.880688155172,527484.221854856
2021-08-01,307859.52636344946,252515.25333727867,55986.84737369349,2732.476653626636,467699.1493515688
2021-09-01,259831.42427988496,201632.55485972296,58603.48782604562,2036.6893207164067,551220.7815240219
2021-10-01,284964.4303167342,226275.56834509928,59012.13727868904,2131.558007206215,501959.5773733325
2021-11-01,330755.2944458289,270917.55638049525,60436.658763409636,2315.8576325719696,537161.9010774347
2021-12-01,284302.21404622047,219715.16844293353,63296.63426384252,1426.0950866118437,617368.009488274
2022-01-01,311528.6747589105,254061.37632857574,58489.31445763348,2249.447231693848,480711.67870057124
2022-02-01,272681.0202008262,213279.90962336177,57823.82275740514,2875.3934898409098,529561.385289325
2022-03-01,283074.7093577137,222927.8139869769,64474.90543680894,2386.0166191689605,579532.4758637532
2022-04-01,375006.6469707623,307512.4298789197,64041.443192853985,2138.098937728246,508885.2375222793
2022-05-01,342262.9658980568,276102.3194149755,66244.0983523236,2839.0537642449017,584119.7078885057
2022-06-01,308103.1020200776,240943.23589426192,68968.5146720613,2173.4910589157917,576185.5780841826
2022-07-01,328667.0173645964,260903.78126782717,69648.64516715612,2379.437345792856,616867.0646447715
2022-08-01,358861.79310963105,287287.18433249474,69852.68490084543,2994.571472568863,561927.1965764149
2022-09-01,307548.6888393658,242649.16753418982,70665.72143533702,2349.9115489443757,658698.8041703261
2022-10-01,328896.7710481804,263043.427417634,69029.45528061061,2472.09573479573,582652.4201800552
2022-11-01,367376.47083243984,310215.0934555152,66791.82094147374,2653.5224099132975,621131.6517962955
2022-12-01,311696.3059009479,249926.03690262366,65331.955432646384,1811.724074320813,713606.6664878502
2023-01-01,344924.34188880294,286441.78865838074,64060.3524495418,2566.242430371396,575350.6521020033
2023-02-01,295192.34011205996,243598.5001942144,57773.79145365315,3209.1647308029133,604407.1035231405
2023-03-01,312331.13661608915,251779.5784474623,67592.24879202033,2686.201115239186,670187.0478866415
2023-04-01,396077.77004436706,336947.13594059244,62389.30650484167,2471.5407691655637,582007.5862645765
2023-05-01,368922.18906046846,304238.6625370963,67180.03441284098,3159.345647509057,661770.6990164027
2023-06-01,327624.0152545128,264434.0102290283,66117.09349462632,2484.950653780332,648189.9402499859
2023-07-01,342240.24572728574,281520.6505860337,64103.83831897238,2618.418884568764,678151.6710580244
2023-08-01,376257.0811249296,310830.6380919003,66094.8594121954,3259.5126448407173,626822.4489011876
2023-09-01,322287.2917352693,260672.50587474892,65687.55031663965,2593.686802571847,716657.879764877
2023-10-01,351326.36055018194,284831.90827267215,67859.77827682055,2665.090616109501,655285.9003697141
2023-11-01,393676.7595599968,329311.0985497544,67317.46648127983,2843.1331681750708,694514.5378494742
2023-12-01,337975.7247544812,274374.3568966109,65400.787104844225,2088.696318739243,780416.165196101
2024-01-01,372027.9974570065,310315.1331713071,63939.028797623694,2870.204197404415,643124.1168390134
2024-02-01,330513.06288460665,269481.7710730328,61909.89412629888,3501.284313200562,681245.9410374509
2024-03-01,330120.377870427,274925.25808550545,62927.06451124494,3008.92387271356,727573.202461324
2024-04-01,436027.9651952003,364688.9066918369,69196.43764870412,2760.0371771960818,671017.422602642
2024-05-01,402173.14611375274,332587.46989830525,70516.97213192286,3472.672322896935,738502.9201134865
2024-06-01,356085.0023777627,293401.4796040067,66874.24035964049,2826.827926365957,717601.2056668621
